market,side,action,qty,entry_price,exit_price,pnl,bankroll,ts,won
KXBTC15M-25DEC121530-30,no,buy_fill,1,0.1,,-0.11,999.89,1765570680.0,
KXBTC15M-25DEC121530-30,no,sell_fill,1,0.1,0.4,0.29000000000000004,1000.28,1765571220.0,
KXBTC15M-25DEC141245-45,yes,buy_fill,1,0.1,,-0.11,1000.17,1765733580.0,
KXBTC15M-25DEC141245-45,yes,sell_fill,1,0.1,0.4,0.29000000000000004,1000.56,1765734060.0,
KXBTC15M-25DEC141430-30,yes,buy_fill,12,0.1,,-1.2200000000000002,999.3399999999999,1765739940.0,
KXBTC15M-25DEC141430-30,yes,settlement,12,0.10000000000000002,0.0,-1.2000000000000002,999.3399999999999,,False
KXBTC15M-25DEC141515-15,no,buy_fill,1,0.1,,-0.11,999.2299999999999,1765742640.0,
KXBTC15M-25DEC141515-15,no,sell_fill,1,0.1,0.4,0.29000000000000004,999.6199999999999,1765742880.0,
KXBTC15M-25DEC141915-15,no,buy_fill,1,0.1,,-0.11,999.5099999999999,1765757040.0,
KXBTC15M-25DEC141915-15,no,sell_fill,1,0.1,0.4,0.29000000000000004,999.8999999999999,1765757580.0,
KXBTC15M-25DEC142245-45,yes,buy_fill,1,0.1,,-0.11,999.7899999999998,1765769580.0,
KXBTC15M-25DEC142245-45,yes,settlement,1,0.1,0.0,-0.1,999.7899999999998,,False
KXBTC15M-25DEC142330-30,no,buy_fill,34,0.1,,-3.4600000000000004,996.3299999999998,1765772280.0,
KXBTC15M-25DEC142330-30,no,sell_fill,1,0.1,0.4,0.29000000000000004,996.7199999999998,1765772520.0,
KXBTC15M-25DEC142330-30,no,sell_fill,1,0.1,0.4,0.29000000000000004,997.1099999999998,1765772760.0,
KXBTC15M-25DEC142330-30,no,settlement,32,0.1,1.0,28.8,1029.1099999999997,,True
KXBTC15M-25DEC142345-45,no,buy_fill,1,0.1,,-0.11,1028.9999999999998,1765773180.0,
KXBTC15M-25DEC142345-45,no,settlement,1,0.1,0.0,-0.1,1028.9999999999998,,False
KXBTC15M-25DEC151515-15,yes,buy_fill,1,0.1,,-0.11,1028.8899999999999,1765828920.0,
KXBTC15M-25DEC151515-15,yes,sell_fill,1,0.1,0.4,0.29000000000000004,1029.28,1765828980.0,
KXBTC15M-25DEC151630-30,no,buy_fill,8,0.1,,-0.8200000000000001,1028.46,1765833540.0,
KXBTC15M-25DEC151630-30,no,settlement,8,0.1,0.0,-0.8,1028.46,,False
KXBTC15M-25DEC161100-00,no,buy_fill,2,0.1,,-0.21000000000000002,1028.25,1765900140.0,
KXBTC15M-25DEC161100-00,no,settlement,2,0.1,0.0,-0.2,1028.25,,False
KXBTC15M-25DEC161345-45,no,buy_fill,3,0.1,,-0.31000000000000005,1027.94,1765909920.0,
KXBTC15M-25DEC161345-45,no,buy_fill,6,0.1,,-0.6100000000000001,1027.3300000000002,1765909980.0,
KXBTC15M-25DEC161345-45,no,settlement,9,0.10000000000000002,0.0,-0.9000000000000001,1027.3300000000002,,False
KXBTC15M-25DEC161415-15,yes,buy_fill,5,0.1,,-0.51,1026.8200000000002,1765911840.0,
KXBTC15M-25DEC161415-15,yes,settlement,5,0.1,0.0,-0.5,1026.8200000000002,,False
KXBTC15M-25DEC161500-00,no,buy_fill,4,0.1,,-0.41000000000000003,1026.41,1765914420.0,
KXBTC15M-25DEC161500-00,no,sell_fill,4,0.1,0.4,1.1800000000000002,1027.99,1765914480.0,
KXBTC15M-25DEC161515-15,no,buy_fill,3,0.1,,-0.31000000000000005,1027.68,1765915440.0,
KXBTC15M-25DEC161515-15,no,sell_fill,1,0.10000000000000002,0.4,0.29,1028.0700000000002,1765915560.0,
KXBTC15M-25DEC161515-15,no,sell_fill,1,0.10000000000000002,0.4,0.29,1028.4600000000003,1765915620.0,
KXBTC15M-25DEC161515-15,no,sell_fill,1,0.10000000000000002,0.4,0.29,1028.8500000000004,1765915980.0,
KXBTC15M-25DEC162330-30,yes,buy_fill,23,0.1,,-2.3400000000000003,1026.5100000000004,1765945080.0,
KXBTC15M-25DEC162330-30,yes,buy_fill,1,0.1,,-0.11,1026.4000000000005,1765945140.0,
KXBTC15M-25DEC162330-30,yes,settlement,24,0.10000000000000002,0.0,-2.4000000000000004,1026.4000000000005,,False
KXBTC15M-25DEC171100-00,yes,buy_fill,14,0.1,,-1.4300000000000002,1024.9700000000005,1765986540.0,
KXBTC15M-25DEC171100-00,yes,settlement,14,0.1,0.0,-1.4000000000000001,1024.9700000000005,,False
KXBTC15M-25DEC171230-30,yes,buy_fill,3,0.1,,-0.31000000000000005,1024.6600000000005,1765991820.0,
KXBTC15M-25DEC171230-30,yes,sell_fill,3,0.10000000000000002,0.4,0.8799999999999999,1025.8400000000006,1765991880.0,
KXBTC15M-25DEC171545-45,yes,buy_fill,3,0.1,,-0.31000000000000005,1025.5300000000007,1766003640.0,
KXBTC15M-25DEC171545-45,yes,sell_fill,3,0.10000000000000002,0.4,0.8799999999999999,1026.7100000000007,1766004240.0,
KXBTC15M-25DEC171615-15,no,buy_fill,9,0.1,,-0.92,1025.7900000000006,1766005320.0,
KXBTC15M-25DEC171615-15,no,sell_fill,1,0.1,0.4,0.29000000000000004,1026.1800000000007,1766005380.0,
KXBTC15M-25DEC171615-15,no,settlement,8,0.1,0.0,-0.8,1026.1800000000007,,False
KXBTC15M-25DEC180930-30,no,buy_fill,9,0.1,,-0.92,1025.2600000000007,1766067480.0,
KXBTC15M-25DEC180930-30,no,settlement,9,0.1,0.0,-0.9,1025.2600000000007,,False
KXBTC15M-25DEC181345-45,no,buy_fill,1,0.1,,-0.11,1025.1500000000008,1766082780.0,
KXBTC15M-25DEC181345-45,no,settlement,1,0.1,0.0,-0.1,1025.1500000000008,,False
KXBTC15M-25DEC181415-15,yes,buy_fill,7,0.1,,-0.7200000000000001,1024.4300000000007,1766084580.0,
KXBTC15M-25DEC181415-15,yes,buy_fill,1,0.1,,-0.11,1024.3200000000008,1766084640.0,
KXBTC15M-25DEC181415-15,yes,sell_fill,8,0.1,0.4,2.3600000000000003,1027.480000000001,1766085000.0,
KXBTC15M-25DEC181430-30,yes,buy_fill,4,0.1,,-0.41000000000000003,1027.0700000000008,1766085420.0,
KXBTC15M-25DEC181430-30,yes,sell_fill,1,0.1,0.4,0.29000000000000004,1027.460000000001,1766085480.0,
KXBTC15M-25DEC181430-30,yes,sell_fill,1,0.1,0.4,0.29000000000000004,1027.850000000001,1766085720.0,
KXBTC15M-25DEC181430-30,yes,sell_fill,2,0.1,0.4,0.5900000000000001,1028.640000000001,1766085780.0,
KXBTC15M-25DEC181515-15,no,buy_fill,2,0.1,,-0.21000000000000002,1028.430000000001,1766088180.0,
KXBTC15M-25DEC181515-15,no,buy_fill,5,0.1,,-0.51,1027.920000000001,1766088240.0,
KXBTC15M-25DEC181515-15,no,settlement,7,0.09999999999999999,0.0,-0.7,1027.920000000001,,False
KXBTC15M-25DEC181530-30,no,buy_fill,25,0.1,,-2.54,1025.380000000001,1766089140.0,
KXBTC15M-25DEC181530-30,no,sell_fill,3,0.1,0.4,0.8800000000000001,1026.560000000001,1766089200.0,
