spread_mean,spread_min,vol_early,vol_bar1,oi_bar4,rvol_4bar,price_mid_bar4,imbalance_bar4,range_early,price_level_abs50,vol_total,rvol_full,n_bars,market,pnl,won
0.1,0.040000000000000036,309,9,309,0.021151189845344698,0.925,5.666666666666666,0.45,0.42500000000000004,2249,0.3391974742656162,15,KXBTC15M-25DEC121530-30,0.29,1
0.25749999999999995,0.11000000000000001,1,0,1,,0.41000000000000003,-0.6923076923076921,0.0,0.08999999999999997,110,,15,KXBTC15M-25DEC141245-45,0.29,1
0.12,0.04999999999999999,185,0,185,0.6059704869875564,0.08,-5.25,0.32999999999999996,0.42,277,1.3949552747174372,15,KXBTC15M-25DEC141430-30,-1.2000000000000002,0
0.175,0.06999999999999995,2,0,1,,0.7949999999999999,2.03448275862069,0.38,0.29499999999999993,655,0.8681609895615199,15,KXBTC15M-25DEC141515-15,0.29,1
0.245,0.0,22,0,12,0.016720943611316243,0.8,2.1428571428571432,0.29999999999999993,0.30000000000000004,169,0.2494400813272301,15,KXBTC15M-25DEC141915-15,0.29,1
0.2025,0.04999999999999999,4,0,4,,0.19,-2.8181818181818183,0.28,0.31,4,,14,KXBTC15M-25DEC142245-45,-0.1,0
0.16999999999999998,0.010000000000000009,353,9,344,,0.72,3.6666666666666674,0.42999999999999994,0.21999999999999997,366,0.7809081633030156,13,KXBTC15M-25DEC142330-30,29.38,1
0.1875,0.010000000000000009,2,0,1,,0.89,3.545454545454546,0.2899999999999999,0.39,625,,13,KXBTC15M-25DEC142345-45,-0.1,0
0.16250000000000003,0.020000000000000018,320,110,318,2.4480853467512107,0.2,-10.0,0.39999999999999997,0.3,610,1.4345742361410043,15,KXBTC15M-25DEC151515-15,0.29,1
0.16,0.010000000000000009,312,0,311,0.11012591816986225,0.8,3.749999999999999,0.3799999999999999,0.30000000000000004,390,0.23102766975836783,12,KXBTC15M-25DEC151630-30,-0.8,0
0.034999999999999976,,248,127,173,0.1324058507219849,0.89,38.999999999999964,0.25,0.39,275,0.14847106613688696,13,KXBTC15M-25DEC161100-00,-0.2,0
