market,first_plot_ts,last_plot_ts,open_ts,open_day,hour_utc,start_br,end_br,contrib,pnl_exit,first_buy_ts,first_second_fill,fill_first_minute,has_open_ts
KXBTC15M-25DEC121530-30,1765570680.0,1765571220.0,1765570500,2025-12-12,20,1000.0,1000.28,0.2799999999999727,0.29,1765570680.0,False,False,True
KXBTC15M-25DEC141245-45,1765733580.0,1765734060.0,1765733400,2025-12-14,17,1000.28,1000.56,0.2799999999999727,0.29,1765733580.0,False,False,True
KXBTC15M-25DEC141430-30,1765739940.0,1765740000.0,1765739700,2025-12-14,19,1000.56,999.34,-1.2199999999999136,-1.2000000000000002,1765739940.0,False,False,True
KXBTC15M-25DEC141515-15,1765742640.0,1765742880.0,1765742400,2025-12-14,20,999.34,999.62,0.2799999999999727,0.29,1765742640.0,False,False,True
KXBTC15M-25DEC141915-15,1765757040.0,1765757580.0,1765756800,2025-12-15,0,999.62,999.9,0.2799999999999727,0.29,1765757040.0,False,False,True
KXBTC15M-25DEC142245-45,1765769580.0,1765769640.0,1765769400,2025-12-15,3,999.9,999.7899999999998,-0.11000000000012733,-0.1,1765769580.0,False,False,True
KXBTC15M-25DEC142330-30,1765772280.0,1765772820.0,1765772100,2025-12-15,4,999.7899999999998,1029.1099999999997,29.319999999999823,29.38,1765772280.0,False,False,True
KXBTC15M-25DEC142345-45,1765773180.0,1765773240.0,1765773000,2025-12-15,4,1029.1099999999997,1028.9999999999998,-0.10999999999989996,-0.1,1765773180.0,False,False,True
KXBTC15M-25DEC151515-15,1765828920.0,1765828980.0,1765828800,2025-12-15,20,1028.9999999999998,1029.28,0.2800000000002001,0.29,1765828920.0,False,False,True
KXBTC15M-25DEC151630-30,1765833540.0,1765833600.0,1765833300,2025-12-15,21,1029.28,1028.46,-0.8199999999999363,-0.8,1765833540.0,False,False,True
KXBTC15M-25DEC161100-00,1765900140.0,1765900200.0,1765899900,2025-12-16,15,1028.46,1028.25,-0.21000000000003638,-0.2,1765900140.0,False,False,True
KXBTC15M-25DEC161345-45,1765909920.0,1765910040.0,1765909800,2025-12-16,18,1028.25,1027.3300000000002,-0.9199999999998454,-0.9000000000000001,1765909920.0,False,False,True
KXBTC15M-25DEC161415-15,1765911840.0,1765911900.0,1765911600,2025-12-16,19,1027.3300000000002,1026.8200000000002,-0.5099999999999909,-0.5,1765911840.0,False,False,True
KXBTC15M-25DEC161500-00,1765914420.0,1765914480.0,1765914300,2025-12-16,19,1026.8200000000002,1027.99,1.1699999999998454,1.1800000000000002,1765914420.0,False,False,True
KXBTC15M-25DEC161515-15,1765915440.0,1765915980.0,1765915200,2025-12-16,20,1027.99,1028.8500000000004,0.8600000000003547,0.8699999999999999,1765915440.0,False,False,True
KXBTC15M-25DEC162330-30,1765945080.0,1765945200.0,1765944900,2025-12-17,4,1028.8500000000004,1026.4000000000003,-2.4500000000000455,-2.4000000000000004,1765945080.0,False,False,True
KXBTC15M-25DEC171100-00,1765986540.0,1765986600.0,1765986300,2025-12-17,15,1026.4000000000003,1024.9700000000005,-1.4299999999998363,-1.4,1765986540.0,False,False,True
