Price Optimizer: KXBTC15M  |  2000 markets  |  Run: 2026-03-09

Optimizing entry/exit prices: KXBTC15M, 2000 markets
  Buy grid:  [6, 8, 10, 12, 14, 16, 18, 20]c
  Sell grid: [24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54]c

  6c / 24c  ->  +492.7%  (filled: 272, TP: 38.6%)
  6c / 26c  ->  +464.5%  (filled: 272, TP: 36.4%)
  6c / 28c  ->  +594.4%  (filled: 272, TP: 35.7%)
  6c / 30c  ->  +798.4%  (filled: 272, TP: 35.7%)
  6c / 32c  ->  +829.2%  (filled: 272, TP: 34.2%)
  6c / 34c  ->  +891.1%  (filled: 272, TP: 33.1%)
  6c / 36c  ->  +1005.5%  (filled: 272, TP: 32.0%)
  6c / 38c  ->  +1181.6%  (filled: 272, TP: 31.6%)
  6c / 40c  ->  +1309.6%  (filled: 272, TP: 30.9%)
  6c / 42c  ->  +1396.6%  (filled: 272, TP: 30.1%)
  6c / 44c  ->  +1464.3%  (filled: 272, TP: 29.8%)
  6c / 46c  ->  +1322.0%  (filled: 272, TP: 27.9%)
  6c / 48c  ->  +1450.4%  (filled: 272, TP: 27.6%)
  6c / 50c  ->  +1609.2%  (filled: 272, TP: 27.6%)
  6c / 52c  ->  +1808.8%  (filled: 272, TP: 27.2%)
  6c / 54c  ->  +1894.6%  (filled: 272, TP: 26.5%)
  8c / 24c  ->  +406.0%  (filled: 409, TP: 43.8%)
  8c / 26c  ->  +343.8%  (filled: 409, TP: 41.1%)
  8c / 28c  ->  +412.3%  (filled: 409, TP: 39.4%)
  8c / 30c  ->  +560.8%  (filled: 409, TP: 37.9%)
  8c / 32c  ->  +573.5%  (filled: 409, TP: 36.2%)
  8c / 34c  ->  +589.7%  (filled: 409, TP: 34.7%)
  8c / 36c  ->  +659.9%  (filled: 409, TP: 33.5%)
  8c / 38c  ->  +695.3%  (filled: 409, TP: 32.8%)
  8c / 40c  ->  +735.1%  (filled: 409, TP: 31.3%)
  8c / 42c  ->  +775.8%  (filled: 409, TP: 30.3%)
  8c / 44c  ->  +819.3%  (filled: 409, TP: 29.3%)
  8c / 46c  ->  +743.8%  (filled: 409, TP: 27.9%)
  8c / 48c  ->  +880.3%  (filled: 409, TP: 27.6%)
  8c / 50c  ->  +972.4%  (filled: 409, TP: 27.4%)
  8c / 52c  ->  +1124.6%  (filled: 409, TP: 26.7%)
  8c / 54c  ->  +1146.3%  (filled: 409, TP: 25.7%)
  10c / 24c  ->  +209.3%  (filled: 517, TP: 48.5%)
  10c / 26c  ->  +135.9%  (filled: 517, TP: 45.6%)
  10c / 28c  ->  +365.6%  (filled: 517, TP: 43.9%)
  10c / 30c  ->  +22.5%  (filled: 517, TP: 40.4%)
  10c / 32c  ->  +271.4%  (filled: 517, TP: 38.5%)
  10c / 34c  ->  +423.2%  (filled: 517, TP: 36.9%)
  10c / 36c  ->  +462.1%  (filled: 517, TP: 35.8%)
  10c / 38c  ->  +519.2%  (filled: 517, TP: 34.4%)
  10c / 40c  ->  +530.6%  (filled: 517, TP: 33.1%)
  10c / 42c  ->  +570.7%  (filled: 517, TP: 32.1%)
  10c / 44c  ->  +657.1%  (filled: 517, TP: 31.1%)
  10c / 46c  ->  +648.1%  (filled: 517, TP: 30.0%)
  10c / 48c  ->  +811.4%  (filled: 517, TP: 29.6%)
  10c / 50c  ->  +912.0%  (filled: 517, TP: 29.4%)
  10c / 52c  ->  +998.3%  (filled: 517, TP: 28.8%)
  10c / 54c  ->  +1106.3%  (filled: 517, TP: 27.9%)
  12c / 24c  ->  +18.7%  (filled: 630, TP: 55.7%)
  12c / 26c  ->  +8.5%  (filled: 630, TP: 52.4%)
  12c / 28c  ->  +326.8%  (filled: 630, TP: 49.8%)
  12c / 30c  ->  +346.1%  (filled: 630, TP: 46.8%)
  12c / 32c  ->  +382.3%  (filled: 630, TP: 44.6%)
  12c / 34c  ->  +389.6%  (filled: 630, TP: 42.5%)
  12c / 36c  ->  +465.1%  (filled: 630, TP: 41.0%)
  12c / 38c  ->  +543.6%  (filled: 630, TP: 39.8%)
  12c / 40c  ->  +536.5%  (filled: 630, TP: 37.8%)
  12c / 42c  ->  +532.2%  (filled: 630, TP: 36.2%)
  12c / 44c  ->  +613.4%  (filled: 630, TP: 35.2%)
  12c / 46c  ->  +600.2%  (filled: 630, TP: 33.8%)
  12c / 48c  ->  +700.4%  (filled: 630, TP: 33.3%)
  12c / 50c  ->  +759.8%  (filled: 630, TP: 32.5%)
  12c / 52c  ->  +890.5%  (filled: 630, TP: 32.1%)
  12c / 54c  ->  +855.5%  (filled: 630, TP: 31.0%)
  14c / 24c  ->  +4.9%  (filled: 761, TP: 62.4%)
  14c / 26c  ->  +6.2%  (filled: 761, TP: 58.1%)
  14c / 28c  ->  +158.1%  (filled: 761, TP: 55.2%)
  14c / 30c  ->  +107.2%  (filled: 761, TP: 51.9%)
  14c / 32c  ->  +126.8%  (filled: 761, TP: 48.9%)
  14c / 34c  ->  +271.9%  (filled: 761, TP: 46.8%)
  14c / 36c  ->  +388.3%  (filled: 761, TP: 45.2%)
  14c / 38c  ->  +482.0%  (filled: 761, TP: 44.0%)
  14c / 40c  ->  +436.9%  (filled: 761, TP: 42.0%)
  14c / 42c  ->  +436.2%  (filled: 761, TP: 40.1%)
  14c / 44c  ->  +481.8%  (filled: 761, TP: 38.8%)
  14c / 46c  ->  +491.2%  (filled: 761, TP: 37.1%)
  14c / 48c  ->  +522.1%  (filled: 761, TP: 36.1%)
  14c / 50c  ->  +522.4%  (filled: 761, TP: 35.0%)
  14c / 52c  ->  +613.6%  (filled: 761, TP: 34.3%)
  14c / 54c  ->  +587.4%  (filled: 761, TP: 33.0%)
  16c / 24c  ->  +3.7%  (filled: 904, TP: 69.4%)
  16c / 26c  ->  +4.5%  (filled: 904, TP: 64.9%)
  16c / 28c  ->  +81.4%  (filled: 904, TP: 61.5%)
  16c / 30c  ->  +6.0%  (filled: 904, TP: 57.4%)
  16c / 32c  ->  +5.0%  (filled: 904, TP: 53.4%)
  16c / 34c  ->  +6.2%  (filled: 904, TP: 50.8%)
  16c / 36c  ->  +49.2%  (filled: 904, TP: 48.8%)
  16c / 38c  ->  +6.8%  (filled: 904, TP: 47.0%)
  16c / 40c  ->  +427.3%  (filled: 904, TP: 45.1%)
  16c / 42c  ->  +452.9%  (filled: 904, TP: 43.5%)
  16c / 44c  ->  +538.9%  (filled: 904, TP: 42.1%)
  16c / 46c  ->  +563.0%  (filled: 904, TP: 40.5%)
  16c / 48c  ->  +671.2%  (filled: 904, TP: 39.6%)
  16c / 50c  ->  +722.3%  (filled: 904, TP: 38.5%)
  16c / 52c  ->  +791.2%  (filled: 904, TP: 37.5%)
  16c / 54c  ->  +740.4%  (filled: 904, TP: 35.8%)
  18c / 24c  ->  -32.0%  (filled: 1006, TP: 73.7%)
  18c / 26c  ->  -22.5%  (filled: 1006, TP: 68.9%)
  18c / 28c  ->  -7.3%  (filled: 1006, TP: 65.4%)
  18c / 30c  ->  -1.2%  (filled: 1006, TP: 61.5%)
  18c / 32c  ->  -2.8%  (filled: 1006, TP: 57.6%)
  18c / 34c  ->  -0.9%  (filled: 1006, TP: 54.3%)
  18c / 36c  ->  +6.1%  (filled: 1006, TP: 52.0%)
  18c / 38c  ->  +7.2%  (filled: 1006, TP: 50.0%)
  18c / 40c  ->  +7.8%  (filled: 1006, TP: 47.6%)
  18c / 42c  ->  +5.9%  (filled: 1006, TP: 46.0%)
  18c / 44c  ->  +14.6%  (filled: 1006, TP: 44.5%)
  18c / 46c  ->  +12.2%  (filled: 1006, TP: 42.9%)
  18c / 48c  ->  +18.3%  (filled: 1006, TP: 42.1%)
  18c / 50c  ->  +322.3%  (filled: 1006, TP: 40.9%)
  18c / 52c  ->  +506.4%  (filled: 1006, TP: 39.5%)
  18c / 54c  ->  +7.9%  (filled: 1006, TP: 37.4%)
  20c / 24c  ->  -50.3%  (filled: 1195, TP: 80.7%)
  20c / 26c  ->  -34.0%  (filled: 1195, TP: 75.9%)
  20c / 28c  ->  -12.0%  (filled: 1195, TP: 72.4%)
  20c / 30c  ->  -3.3%  (filled: 1195, TP: 68.2%)
  20c / 32c  ->  -0.1%  (filled: 1195, TP: 64.2%)
  20c / 34c  ->  +5.3%  (filled: 1195, TP: 60.8%)
  20c / 36c  ->  +7.6%  (filled: 1195, TP: 58.2%)
  20c / 38c  ->  +11.2%  (filled: 1195, TP: 56.2%)
  20c / 40c  ->  +12.8%  (filled: 1195, TP: 53.6%)
  20c / 42c  ->  +29.6%  (filled: 1195, TP: 51.4%)
  20c / 44c  ->  +350.2%  (filled: 1195, TP: 49.8%)
  20c / 46c  ->  +469.1%  (filled: 1195, TP: 48.1%)
  20c / 48c  ->  +648.3%  (filled: 1195, TP: 46.9%)
  20c / 50c  ->  +555.9%  (filled: 1195, TP: 45.7%)
  20c / 52c  ->  +870.9%  (filled: 1195, TP: 44.3%)
  20c / 54c  ->  +428.6%  (filled: 1195, TP: 42.3%)

======================================================================
  TOP 10 BY TOTAL RETURN
======================================================================
  1. Buy 6c / Sell 54c  ->  +1894.6%  |  Final: $19,946  |  Fills: 272  |  TP: 26.5%  |  DD: 16.4%
  2. Buy 6c / Sell 52c  ->  +1808.8%  |  Final: $19,088  |  Fills: 272  |  TP: 27.2%  |  DD: 17.1%
  3. Buy 6c / Sell 50c  ->  +1609.2%  |  Final: $17,092  |  Fills: 272  |  TP: 27.6%  |  DD: 19.0%
  4. Buy 6c / Sell 44c  ->  +1464.3%  |  Final: $15,643  |  Fills: 272  |  TP: 29.8%  |  DD: 19.8%
  5. Buy 6c / Sell 48c  ->  +1450.4%  |  Final: $15,504  |  Fills: 272  |  TP: 27.6%  |  DD: 20.6%
  6. Buy 6c / Sell 42c  ->  +1396.6%  |  Final: $14,966  |  Fills: 272  |  TP: 30.1%  |  DD: 20.2%
  7. Buy 6c / Sell 46c  ->  +1322.0%  |  Final: $14,220  |  Fills: 272  |  TP: 27.9%  |  DD: 21.5%
  8. Buy 6c / Sell 40c  ->  +1309.6%  |  Final: $14,096  |  Fills: 272  |  TP: 30.9%  |  DD: 21.7%
  9. Buy 6c / Sell 38c  ->  +1181.6%  |  Final: $12,816  |  Fills: 272  |  TP: 31.6%  |  DD: 23.2%
  10. Buy 8c / Sell 54c  ->  +1146.3%  |  Final: $12,463  |  Fills: 409  |  TP: 25.7%  |  DD: 32.8%

  OPTIMAL (by return):
    BUY_PRICE  = 0.06  (6c)
    SELL_PRICE = 0.54  (54c)
    Expected return: +1894.6%
