buy,fill_rate_pct,markets_filled,markets_traded,max_drawdown_pct,net_pnl,note,sell,settle_win_rate,settled_count,sharpe,total_return_pct,tp_count,tp_pct_of_filled
0.1,44.625,357,800,5.889651505155532,-44.30000000000496,entry_cutoff_1200s,0.4,0.0,355,-0.027281394775148248,-4.430000000000495,2,0.5602240896358543
0.1,44.625,357,800,5.90488601921284,-46.920000000004734,entry_cutoff_1200s,0.35,0.0,355,-0.023445798093039757,-4.692000000000474,2,0.5602240896358543
0.08,44.25,354,800,4.147096340391307,-30.63000000001159,entry_cutoff_1200s,0.3,0.0,352,-0.013662395126959465,-3.0630000000011592,2,0.5649717514124294
0.08,44.25,354,800,4.136257840547093,-27.980000000011273,entry_cutoff_1200s,0.35,0.0,352,-0.0016585048354936902,-2.798000000001127,2,0.5649717514124294
0.12,44.625,357,800,7.764875202081778,-64.32999999999845,entry_cutoff_1200s,0.4,0.0,355,-0.0305596714567711,-6.432999999999844,2,0.5602240896358543
0.15,44.875,359,800,9.263845447996406,-80.37999999998829,entry_cutoff_1200s,0.4,0.0,355,-0.011216346887411952,-8.037999999998828,4,1.1142061281337048
0.15,44.875,359,800,9.23823205289558,-77.569999999988,entry_cutoff_1200s,0.45,0.0,355,0.0005566013951878499,-7.7569999999988,4,1.1142061281337048
0.18,45.0,360,800,10.622878993850406,-86.11000000001991,entry_cutoff_1200s,0.45,0.0,356,0.016954971988422985,-8.61100000000199,4,1.1111111111111112
0.2,45.125,361,800,12.249245170558531,-101.95000000001289,entry_cutoff_1200s,0.5,0.0,358,0.03747187175826029,-10.19500000000129,3,0.8310249307479225
0.2,45.125,361,800,12.272754015415762,-105.34000000001288,entry_cutoff_1200s,0.45,0.0,357,0.025023364059085205,-10.534000000001289,4,1.10803324099723
0.05,43.875,351,800,3.0749392451501274,-22.84999999998081,entry_cutoff_1200s,0.25,0.0,349,-0.04367812548197354,-2.284999999998081,2,0.5698005698005698
0.25,45.25,362,800,15.80538164118432,-142.0399999999962,entry_cutoff_1200s,0.5,0.0,359,0.07234563320182535,-14.203999999999622,3,0.8287292817679558
0.3,45.5,364,800,17.784536891677774,-162.05999999997982,entry_cutoff_1200s,0.55,0.0,360,0.1056093920225431,-16.20599999999798,4,1.098901098901099
0.1,37.375,299,800,3.2674787185267506,-29.560000000004038,entry_cutoff_240s,0.4,0.0,298,-0.094650384066741,-2.9560000000004036,1,0.33444816053511706
