ticker,series,event_ticker,window_utc,n_trades_lifetime,n_trades_in_overlap,first_trade_ts,last_trade_ts
KXETH15M-26APR271445-45,KXETH15M,KXETH15M-26APR271445,2026-04-27T18:30:00+00:00,515,515,1777314614,1777315483
KXBTC15M-26APR271445-45,KXBTC15M,KXBTC15M-26APR271445,2026-04-27T18:30:00+00:00,5048,5048,1777314601,1777315491
KXETH15M-26APR271500-00,KXETH15M,KXETH15M-26APR271500,2026-04-27T18:45:00+00:00,1061,1061,1777315509,1777316398
KXBTC15M-26APR271500-00,KXBTC15M,KXBTC15M-26APR271500,2026-04-27T18:45:00+00:00,3728,3728,1777315501,1777316394
KXETH15M-26APR271515-15,KXETH15M,KXETH15M-26APR271515,2026-04-27T19:00:00+00:00,729,729,1777316413,1777317289
KXBTC15M-26APR271515-15,KXBTC15M,KXBTC15M-26APR271515,2026-04-27T19:00:00+00:00,6464,6464,1777316400,1777317299
KXETH15M-26APR271530-30,KXETH15M,KXETH15M-26APR271530,2026-04-27T19:15:00+00:00,468,468,1777317314,1777318153
KXBTC15M-26APR271530-30,KXBTC15M,KXBTC15M-26APR271530,2026-04-27T19:15:00+00:00,4257,4257,1777317304,1777318176
KXETH15M-26APR271545-45,KXETH15M,KXETH15M-26APR271545,2026-04-27T19:30:00+00:00,755,755,1777318207,1777319088
KXBTC15M-26APR271545-45,KXBTC15M,KXBTC15M-26APR271545,2026-04-27T19:30:00+00:00,6824,6824,1777318201,1777319096
KXETH15M-26APR271600-00,KXETH15M,KXETH15M-26APR271600,2026-04-27T19:45:00+00:00,909,909,1777319109,1777319989
KXBTC15M-26APR271600-00,KXBTC15M,KXBTC15M-26APR271600,2026-04-27T19:45:00+00:00,4430,4430,1777319102,1777319999
KXETH15M-26APR271615-15,KXETH15M,KXETH15M-26APR271615,2026-04-27T20:00:00+00:00,488,488,1777320001,1777320854
KXBTC15M-26APR271615-15,KXBTC15M,KXBTC15M-26APR271615,2026-04-27T20:00:00+00:00,4608,4608,1777320001,1777320895
KXETH15M-26APR271630-30,KXETH15M,KXETH15M-26APR271630,2026-04-27T20:15:00+00:00,673,673,1777320915,1777321796
KXBTC15M-26APR271630-30,KXBTC15M,KXBTC15M-26APR271630,2026-04-27T20:15:00+00:00,4305,4305,1777320900,1777321795
KXETH15M-26APR271645-45,KXETH15M,KXETH15M-26APR271645,2026-04-27T20:30:00+00:00,970,970,1777321808,1777322699
KXBTC15M-26APR271645-45,KXBTC15M,KXBTC15M-26APR271645,2026-04-27T20:30:00+00:00,7423,7423,1777321801,1777322698
KXETH15M-26APR271700-00,KXETH15M,KXETH15M-26APR271700,2026-04-27T20:45:00+00:00,680,680,1777322707,1777323595
KXBTC15M-26APR271700-00,KXBTC15M,KXBTC15M-26APR271700,2026-04-27T20:45:00+00:00,7958,7958,1777322701,1777323599
KXETH15M-26APR271715-15,KXETH15M,KXETH15M-26APR271715,2026-04-27T21:00:00+00:00,516,516,1777323608,1777324494
KXBTC15M-26APR271715-15,KXBTC15M,KXBTC15M-26APR271715,2026-04-27T21:00:00+00:00,3668,3668,1777323601,1777324493
KXETH15M-26APR271730-30,KXETH15M,KXETH15M-26APR271730,2026-04-27T21:15:00+00:00,836,836,1777324508,1777325398
KXBTC15M-26APR271730-30,KXBTC15M,KXBTC15M-26APR271730,2026-04-27T21:15:00+00:00,6341,6341,1777324501,1777325394
KXETH15M-26APR271745-45,KXETH15M,KXETH15M-26APR271745,2026-04-27T21:30:00+00:00,863,863,1777325411,1777326298
KXBTC15M-26APR271745-45,KXBTC15M,KXBTC15M-26APR271745,2026-04-27T21:30:00+00:00,7431,7431,1777325403,1777326299
