window_utc,eth_event_ticker,btc_event_ticker,eth_ticker,btc_ticker,open_ts,close_ts,overlap_seconds,match_status
2026-04-27T18:30:00+00:00,KXETH15M-26APR271445,KXBTC15M-26APR271445,KXETH15M-26APR271445-45,KXBTC15M-26APR271445-45,1777314600,1777315500,901,matched
2026-04-27T18:45:00+00:00,KXETH15M-26APR271500,KXBTC15M-26APR271500,KXETH15M-26APR271500-00,KXBTC15M-26APR271500-00,1777315500,1777316400,901,matched
2026-04-27T19:00:00+00:00,KXETH15M-26APR271515,KXBTC15M-26APR271515,KXETH15M-26APR271515-15,KXBTC15M-26APR271515-15,1777316400,1777317300,901,matched
2026-04-27T19:15:00+00:00,KXETH15M-26APR271530,KXBTC15M-26APR271530,KXETH15M-26APR271530-30,KXBTC15M-26APR271530-30,1777317300,1777318200,901,matched
2026-04-27T19:30:00+00:00,KXETH15M-26APR271545,KXBTC15M-26APR271545,KXETH15M-26APR271545-45,KXBTC15M-26APR271545-45,1777318200,1777319100,901,matched
2026-04-27T19:45:00+00:00,KXETH15M-26APR271600,KXBTC15M-26APR271600,KXETH15M-26APR271600-00,KXBTC15M-26APR271600-00,1777319100,1777320000,901,matched
2026-04-27T20:00:00+00:00,KXETH15M-26APR271615,KXBTC15M-26APR271615,KXETH15M-26APR271615-15,KXBTC15M-26APR271615-15,1777320000,1777320900,901,matched
2026-04-27T20:15:00+00:00,KXETH15M-26APR271630,KXBTC15M-26APR271630,KXETH15M-26APR271630-30,KXBTC15M-26APR271630-30,1777320900,1777321800,901,matched
2026-04-27T20:30:00+00:00,KXETH15M-26APR271645,KXBTC15M-26APR271645,KXETH15M-26APR271645-45,KXBTC15M-26APR271645-45,1777321800,1777322700,901,matched
2026-04-27T20:45:00+00:00,KXETH15M-26APR271700,KXBTC15M-26APR271700,KXETH15M-26APR271700-00,KXBTC15M-26APR271700-00,1777322700,1777323600,901,matched
2026-04-27T21:00:00+00:00,KXETH15M-26APR271715,KXBTC15M-26APR271715,KXETH15M-26APR271715-15,KXBTC15M-26APR271715-15,1777323600,1777324500,901,matched
2026-04-27T21:15:00+00:00,KXETH15M-26APR271730,KXBTC15M-26APR271730,KXETH15M-26APR271730-30,KXBTC15M-26APR271730-30,1777324500,1777325400,901,matched
2026-04-27T21:30:00+00:00,KXETH15M-26APR271745,KXBTC15M-26APR271745,KXETH15M-26APR271745-45,KXBTC15M-26APR271745-45,1777325400,1777326300,901,matched
2026-04-27T21:45:00+00:00,KXETH15M-26APR271800,KXBTC15M-26APR271800,KXETH15M-26APR271800-00,KXBTC15M-26APR271800-00,1777326300,1777327200,901,matched
2026-04-27T22:00:00+00:00,KXETH15M-26APR271815,KXBTC15M-26APR271815,KXETH15M-26APR271815-15,KXBTC15M-26APR271815-15,1777327200,1777328100,901,matched
2026-04-27T22:15:00+00:00,KXETH15M-26APR271830,KXBTC15M-26APR271830,KXETH15M-26APR271830-30,KXBTC15M-26APR271830-30,1777328100,1777329000,901,matched
2026-04-27T22:30:00+00:00,KXETH15M-26APR271845,KXBTC15M-26APR271845,KXETH15M-26APR271845-45,KXBTC15M-26APR271845-45,1777329000,1777329900,901,matched
2026-04-27T22:45:00+00:00,KXETH15M-26APR271900,KXBTC15M-26APR271900,KXETH15M-26APR271900-00,KXBTC15M-26APR271900-00,1777329900,1777330800,901,matched
2026-04-27T23:00:00+00:00,KXETH15M-26APR271915,KXBTC15M-26APR271915,KXETH15M-26APR271915-15,KXBTC15M-26APR271915-15,1777330800,1777331700,901,matched
2026-04-27T23:15:00+00:00,KXETH15M-26APR271930,KXBTC15M-26APR271930,KXETH15M-26APR271930-30,KXBTC15M-26APR271930-30,1777331700,1777332600,901,matched
2026-04-27T23:30:00+00:00,KXETH15M-26APR271945,KXBTC15M-26APR271945,KXETH15M-26APR271945-45,KXBTC15M-26APR271945-45,1777332600,1777333500,901,matched
